,Borough,Neighborhood,Total records,Robbery,Street robbery,Total physical injury,Serious bodily harm,Coercion,Total theft,Bicycle theft,Burglary,Property damage,Drug offenses
128,Marzahn-Hellersdorf,Hellersdorf-Ost,1660,14,9,277,44,87,493,67,8,231,50
129,Marzahn-Hellersdorf,Hellersdorf-Süd,2169,16,7,381,88,104,652,98,22,329,50
130,Marzahn-Hellersdorf,Biesdorf,2124,12,6,149,30,64,1043,184,98,190,27
131,Marzahn-Hellersdorf,Kaulsdorf,1152,4,2,116,13,39,429,111,31,163,17
132,Marzahn-Hellersdorf,Mahlsdorf,1296,6,3,113,19,44,572,134,68,162,13
133,Marzahn-Hellersdorf,"Bezirk (Mz-Hd), nicht zuzuordnen",782,9,9,67,14,27,216,47,1,78,13
135,Lichtenberg,"Malchow, Wartenberg und Falkenberg",256,3,2,34,6,10,105,13,27,33,2
136,Lichtenberg,Neu-Hohenschönhausen Nord,2139,17,7,283,56,90,778,68,26,243,79
137,Lichtenberg,Neu-Hohenschönhausen Süd,2302,24,16,358,79,83,944,105,30,282,44
138,Lichtenberg,Alt-Hohenschönhausen Nord,1595,8,2,202,48,75,687,43,42,186,32
139,Lichtenberg,Alt-Hohenschönhausen Süd,2145,11,6,249,47,72,935,117,51,232,32
140,Lichtenberg,Fennpfuhl,2669,13,8,318,78,114,1134,161,48,300,45
141,Lichtenberg,Alt-Lichtenberg,4704,34,22,493,118,115,2276,252,40,354,84
142,Lichtenberg,Frankfurter Allee Süd,2333,11,6,172,42,35,806,101,14,163,85
143,Lichtenberg,Neu Lichtenberg,3548,30,18,351,75,108,1646,351,69,395,58
144,Lichtenberg,Friedrichsfelde Nord,1210,8,5,145,27,47,500,66,20,128,21
145,Lichtenberg,Friedrichsfelde Süd,1868,14,9,161,29,66,808,140,22,200,17
146,Lichtenberg,Rummelsburger Bucht,495,2,2,29,10,16,295,99,12,41,14
147,Lichtenberg,Karlshorst,1536,6,4,98,25,53,738,214,66,146,18
148,Lichtenberg,"Bezirk (Lb), nicht zuzuordnen",804,4,3,42,11,16,322,75,1,62,12
150,Reinickendorf,Ost 1 - Reginhardstr.,2572,32,12,340,74,126,896,110,62,242,63
151,Reinickendorf,Ost 2 - Alt-Reinickendorf,3408,36,15,285,58,143,1415,120,67,303,135
152,Reinickendorf,West 1 - Tegel-Süd/Flughafensee,4996,11,4,271,72,107,825,41,37,170,209
153,Reinickendorf,West 4 - Auguste-Viktoria-Allee,3429,28,16,422,101,149,1309,78,46,281,83
154,Reinickendorf,West 5 - Tegel/Tegeler Forst,2045,19,8,196,50,72,968,70,28,181,35
155,Reinickendorf,West 2 - Heiligensee/Konradshöhe,970,7,3,93,19,39,385,46,67,87,32
156,Reinickendorf,Nord 1 - Frohnau/Hermsdorf,2079,13,3,136,29,57,989,187,160,203,32
157,Reinickendorf,Nord 2 - Waidmannslust/Wittenau/Lübars,3074,25,11,375,98,144,1168,132,97,311,95
158,Reinickendorf,MV 1 - Märkisches Viertel,3125,44,22,464,101,184,1135,69,34,269,95
159,Reinickendorf,MV 2 - Rollbergsiedlung,859,5,2,102,21,51,298,24,19,107,18
160,Reinickendorf,West 3 - Borsigwalde/Freie Scholle,1135,6,3,94,21,50,506,59,55,136,18
161,Reinickendorf,"Bezirk (Rd), nicht zuzuordnen",1571,12,10,100,21,38,736,52,1,63,33
